"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"99",-4.0058873686846,-4.38537156602308,2.63902749034679,-1.87547790403815,0.84971928549179,6.86088888888889,-6.09230243024305,-1.87547790403815,-0.77124,0.0015167781226788,2013-10-01
"100",-2.80280667871583,-3.28384411753572,3.0746435665398,-0.147167546095149,1.83282721248908,7.37580198019802,-5.55797204426327,-0.147167546095149,-1.1556,-1.14174674980497,2014-01-01
"101",-1.21874977479501,-1.74140384719627,4.14341379322528,-0.672402547576116,3.20087316777364,8.54187536400696,-4.42984093954797,-0.672402547576116,-1.2371,-0.258497673230873,2014-04-01
"102",-0.564697756947965,-1.09929866577264,4.39111389906273,1.65035664791269,3.6531370974973,8.892175899486,-4.13286473663402,1.65035664791269,-1.1052,0.449578679910013,2014-07-01
"103",-0.348974814748146,-0.881094223479778,4.24039609020522,2.05117521769587,3.6917720539928,8.84271844660196,-4.23126000213378,2.05117521769587,-0.89449,1.30317903466084,2014-10-01
"104",1.27028296986595,0.800440377418397,5.7929463452335,1.48328404791783,5.1956725090464,10.5252747252747,-2.67516068836824,1.48328404791783,-0.24903,1.44114406882355,2015-01-01
"105",0.617728942614235,0.193749988246282,4.98294785077107,1.43528795718682,4.44882804347057,9.83288409703505,-3.45692621608686,1.43528795718682,0.51444,2.41696456780182,2015-04-01
"106",0.242129401126363,-0.145366521980492,4.39865678893901,2.34872583786007,4.00824530296171,9.3570798800917,-3.9967671780403,2.34872583786007,1.14,2.04778797772343,2015-07-01
"107",1.29550082499173,0.981053059279702,5.44657921173945,0.338866530624112,5.04263693498513,10.5345275181724,-2.9350176722208,0.338866530624112,1.3866,2.04594490053823,2015-10-01
"108",2.2685426180366,2.06031734456457,6.61787369667709,1.17607669387104,6.04310446842819,11.8598708800544,-1.781408117876,1.17607669387104,1.582,2.28414875022143,2016-01-01
"109",2.83583756183094,2.75235059777731,7.52587131900796,3.13293980980101,6.68887258100713,12.9425020850709,-0.913089286116843,3.13293980980101,1.538,3.21695835320129,2016-04-01
"110",2.34658060912369,2.36972614922314,7.33280408229209,2.99231119328426,6.31136077487618,12.9236363636364,-1.13777114777116,2.99231119328426,1.1905,4.18462570264848,2016-07-01
"111",1.98293866532796,2.09697559010959,7.23355732601885,2.40720866231165,6.08776087028747,12.999806949807,-1.26350155465201,2.40720866231165,0.60649,3.92323414552392,2016-10-01
"112",1.48801417718147,1.67171797657812,6.93956030187888,1.22786938636105,5.74323762323772,12.8782869785082,-1.57450845032935,1.22786938636105,0.11388,3.59838501617965,2017-01-01
