"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"68",-0.363555107337731,-0.737499293650018,6.77829929360658,1.07425548997641,5.92495561638377,10.4557544757033,-4.34708622579467,1.07425548997641,-1.8308,2.46556599440976,2006-01-01
"69",0.546310883455504,0.178445698102394,7.69086642170515,0.896031779249715,6.75691527613345,11.3496894409938,-3.62695302248275,0.896031779249715,-2.3792,1.67693411770137,2006-04-01
"70",1.98098537182278,1.67534572361117,9.39245535122097,1.55638065333,8.16630683884144,13.0387122736419,-2.21936955063717,1.55638065333,-2.6557,2.09359719115961,2006-07-01
"71",0.365537324681043,0.075701793147033,7.77251871955303,1.63368013157226,6.52486745175435,11.4170187793427,-3.99600617403047,1.63368013157226,-2.8552,3.1956776341167,2006-10-01
"72",-2.29314784112935,-2.6508609127244,4.62224829341548,0.556316294449963,3.80608453584129,8.27172754946727,-7.07534555103052,0.556316294449963,-2.9095,2.21143898003783,2007-01-01
"73",-2.2088604400324,-2.6288155246458,4.1895046889338,-0.758022654323098,3.81550913085913,7.84727878563496,-7.4090633098852,-0.758022654323098,-2.8268,0.104831094592633,2007-04-01
"74",-0.333326622286933,-0.749921435301957,5.85364986130224,-0.329247835584549,5.62303215565921,9.52594594594595,-5.75487908961591,-0.329247835584549,-3.2017,-0.322855308417463,2007-07-01
"75",-0.105602005369803,-0.507128640781161,5.90528961433802,0.773552474368381,5.77633200607156,9.59715789473682,-5.7115023923445,0.773552474368381,-3.5251,0.846217965174029,2007-10-01
"76",1.27797721815324,0.940727523522298,7.36297838654886,1.88020768981878,7.12755762251681,11.084005468216,-4.34637336347862,1.88020768981878,-3.2336,1.14300328293784,2008-01-01
"77",-0.442548726062114,-0.769828436045884,5.4210643086937,0.516621275091719,5.35724743426061,9.16973026973028,-6.25504748416142,0.516621275091719,-2.3969,2.36637064170993,2008-04-01
"78",-0.60895457302442,-0.93096151555531,4.99499074524917,0.826360274515623,5.15223983887275,8.77332035053553,-6.62136075949368,0.826360274515623,-1.7696,0.986808126569155,2008-07-01
"79",3.7485104211957,3.57666114264867,9.87823703172489,1.20207869253825,9.56794469054034,13.7156012658228,-1.95554852320674,1.20207869253825,-1.336,0.944731782690005,2008-10-01
"80",2.11177278462563,2.03691972266589,8.52379412739532,1.19235496613754,7.98607054233198,12.4202777777778,-3.43487127371273,1.19235496613754,-0.7955,4.01940057986865,2009-01-01
"81",-2.36174197797658,-2.48977590149005,3.54365131865583,0.580706661045661,3.5155785496801,7.47308039747065,-8.25917654357266,0.580706661045661,-0.47393,3.20502011348157,2009-04-01
"82",-0.369111637019301,-0.488258046702271,5.35305384668325,0.152515416499095,5.54401034264954,9.33014986776374,-6.39560681751396,0.152515416499095,-0.44196,0.0887515996771582,2009-07-01
"83",-1.6458626086602,-1.80040631250392,3.65216662370537,-1.27288584205818,4.23975789774867,7.66703958691912,-7.95469272046168,-1.27288584205818,-0.50207,1.21577826438764,2009-10-01
"84",-1.43059775090953,-1.61537876781583,3.45665385086923,0.761436364466788,4.41179893709527,7.50941176470587,-8.00397009966778,0.761436364466788,-0.63615,-0.0694449324417376,2010-01-01
"85",-5.38363528004592,-5.73063988325757,-1.64906835758569,-1.20870685928812,0.296677829938037,2.39745554035568,-12.7187669229681,-1.20870685928812,-0.99887,0.455739996063646,2010-04-01
"86",-5.46558467818821,-5.97853447849062,-2.9753720328645,-0.681068675868635,-0.0054232801711359,1.04939855653572,-13.6111230589779,-0.681068675868635,-1.5577,-2.93356477874705,2010-07-01
"87",-8.84653521337705,-9.63562154884693,-8.28938273231034,-3.27101795033332,-3.7678113846517,-4.34367816091955,-18.2659980275439,-3.27101795033332,-2.0086,-3.30805854765771,2010-10-01
"88",-8.87339362102168,-9.93586216020671,-10.3695631516286,-2.22752936678692,-4.27542687400914,-6.53317160367723,-19.6284601634321,-2.22752936678692,-1.7646,-6.76252660278897,2011-01-01
"89",-7.89707550455654,-9.19304173664855,-11.3747287338122,-3.2719978390637,-3.86796081002292,-7.66846441947567,-19.910695970696,-3.2719978390637,-0.79239,-7.1592004009784,2011-04-01
"90",-7.41970775344353,-8.92254455967873,-12.8746226233525,-1.71978337986009,-4.0291952125176,-9.32603174603173,-20.6622105430801,-1.71978337986009,0.16401,-7.30517616746738,2011-07-01
"91",-7.35189332785021,-9.0466461021831,-14.8398827603361,-1.65599262010403,-4.65051795710429,-11.4837553750597,-21.8368447821463,-1.65599262010403,1.5284,-7.14938752450068,2011-10-01
"92",-3.93556818955554,-5.69528099097721,-12.893615998713,-0.8955645298879,-1.88063613052926,-9.71760168302947,-19.2233796365373,-0.8955645298879,3.5616,-7.59203277577301,2012-01-01
"93",-2.07576944804447,-3.8238840178164,-12.1683455529324,-0.329993906562885,-0.62151740620092,-9.1731869137497,-17.8959830943178,-0.329993906562885,5.0649,-5.45630216257226,2012-04-01
"94",-1.58184234651506,-3.28849658522481,-12.6929402705826,0.921361339035006,-0.666445268213264,-9.89507278835387,-17.8299132138858,0.921361339035006,5.1538,-4.30643843961041,2012-07-01
"95",-2.91039295662085,-4.60880144931741,-15.2490181831943,-0.59308555626209,-2.50269103936773,-12.6936842105263,-19.7288035811177,-0.59308555626209,4.5175,-3.99297663372332,2012-10-01
"96",-3.98738313306342,-5.70541566158582,-17.736398374034,-1.85640487531733,-4.07005863622925,-15.4706615120275,-21.5011006206607,-1.85640487531733,3.6107,-5.66284739338228,2013-01-01
"97",-1.96119338942617,-3.62569666912938,-16.7518963319171,-1.98564389098085,-2.47461098332764,-14.7737428992215,-19.8752927975314,-1.98564389098085,2.8806,-7.21603686552985,2013-04-01
"98",-3.17552785449396,-4.82119736711815,-19.1986069787262,-2.267861539397,-4.12915495583825,-17.5570810142239,-21.6277303648732,-2.267861539397,1.8062,-6.3469866035708,2013-07-01
"99",-4.23522648717906,-5.89380064329296,-21.6710630485176,-1.67206728560513,-5.63133627183682,-20.4181414141414,-23.3570813081308,-1.67206728560513,0.75631,-7.71205180436961,2013-10-01
"100",-5.30750388004523,-7.01228875441618,-24.3531189301479,-4.51141240942003,-7.17388073370596,-23.5466534653466,-25.2449062317996,-4.51141240942003,0.18129,-8.8388439103745,2014-01-01
"101",-5.40653622560046,-7.15898885151694,-26.0948156322819,-4.96647804017452,-7.76731692074956,-25.7797320908562,-26.1770778791186,-4.96647804017452,0.040032,-10.8047553783443,2014-04-01
"102",-4.40552268843373,-6.1702407614282,-26.5667776182835,-4.53125090816055,-7.26565413536368,-26.7679802017894,-25.8669419672275,-4.53125090816055,-0.078127,-11.5330856557415,2014-07-01
"103",-3.66668116645491,-5.41640235810473,-27.1611553147998,-3.49782291239729,-7.02342754083792,-27.9057505601195,-25.7016110103489,-3.49782291239729,-0.32728,-11.2923452288616,2014-10-01
"104",-0.675670944770218,-2.3086804924688,-24.9398718252658,-1.3632266274401,-4.45486880707241,-26.2052197802198,-22.8273662658097,-1.3632266274401,-0.25417,-11.0322283088894,2015-01-01
"105",-2.9861415440696,-4.57662667554308,-28.3790728131229,-2.46691462666232,-7.20386130716354,-30.2422641509434,-25.545926896239,-2.46691462666232,0.094743,-8.89692277886933,2015-04-01
"106",-1.00909817362196,-2.4919591255927,-27.1436006347199,-1.2397995328196,-5.58260553617011,-29.5986422147769,-23.6624512627599,-1.2397995328196,0.23895,-10.9524972307423,2015-07-01
"107",0.354160005369721,-0.976583515567228,-26.217562746381,-3.70517407349206,-4.51642275165329,-29.26256490135,-22.1474358607944,-3.70517407349206,0.22441,-9.62328502925558,2015-10-01
"108",1.75586929826113,0.621605091951949,-24.9237410969322,0.0413826720441235,-3.32660851127543,-28.5484029901461,-20.3296682420535,0.0413826720441235,0.35602,-9.50311603037025,2016-01-01
"109",4.75587339764087,3.91355340650335,-21.3936107925912,0.81944216812319,-0.400503079098022,-25.5422018348624,-16.3950454207335,0.81944216812319,0.34996,-7.68963727003812,2016-04-01
"110",6.56823418408678,6.07200426107156,-18.5908338591012,2.03037757633637,1.47588456997577,-23.2181326781327,-13.2794656019656,2.03037757633637,0.20079,-5.39738519063329,2016-07-01
"111",4.51263173909538,4.28505783886808,-19.8830697420652,1.98380293814037,-0.442255544122523,-25.0236325611325,-14.2415835241056,1.98380293814037,-0.30353,-3.67911756108365,2016-10-01
"112",4.92692093725498,4.96808485840566,-18.5217270976784,0.610368761214683,0.21490268398737,-24.1567003792668,-12.5988850721938,0.610368761214683,-0.71977,-4.78728480648076,2017-01-01
"113",4.26860270574608,4.54125709250161,-18.2462045695442,-1.61735038618434,-0.15339432511117,-24.3778761061947,-12.0616613677325,-1.61735038618434,-1.2838,-4.59622906487404,2017-04-01
"114",4.92600867914382,5.43487541093867,-16.4451992253965,0.376985264133155,0.857664129925612,-23.0430816170862,-10.0521533969857,0.376985264133155,-2.0502,-5.29936524920112,2017-07-01
"115",4.94173530761228,5.66980185376352,-15.1900611200479,0.12887239429688,1.26655979161465,-22.2334932533733,-8.62551647253298,0.12887239429688,-2.804,-4.1002472692094,2017-10-01
"116",2.68534750102316,3.53972341348987,-16.5325582735549,0.171924159889448,-0.611602847160438,-24.0562776304156,-9.77493256305357,0.171924159889448,-3.068,-3.85280079867973,2018-01-01
"117",2.02063265296522,2.96058358584801,-16.3582541901683,-0.85255778390766,-0.903864907903069,-24.3646820223092,-9.41964472881722,-0.85255778390766,-2.9186,-5.01134047686,2018-04-01
"118",0.164953428813504,1.11162201558801,-17.6808376569332,-2.71518571238557,-2.44932687622984,-26.2057399230879,-10.5424227318046,-2.71518571238557,-3.0613,-5.41037773304544,2018-07-01
"119",-0.203023684326354,0.7223622123322,-17.5804748845646,-1.86105399774803,-2.55424200268828,-26.628487394958,-10.2531661920967,-1.86105399774803,-3.3161,-6.90655513708978,2018-10-01
"120",-1.69182821426406,-0.850038132735278,-18.8765457985039,-3.02530880504055,-3.86632355518668,-28.4842699724518,-11.3442324888227,-3.02530880504055,-3.2643,-6.8413212803931,2019-01-01
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-01
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-01
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-01
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-01
