"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"72",3.09830657691637,3.77024777350084,-16.4660937618692,-27.5298878090553,-24.7714991408935,16.154848911214,-0.0570013841857742,-0.42409,-5.49493773494669,2007-01-01
"73",0.65294447918933,1.33255554611625,-18.0978955924689,-27.723060034824,-26.7867452135494,14.252276393219,-0.830749777597449,-0.36057,-6.07201030236075,2007-04-01
"74",1.72130612962513,2.43562898268922,-16.0204965795592,-16.7638992953777,-25.0682127396413,15.993048855906,-2.29615965594672,-0.24863,-7.55475719513626,2007-07-01
"75",2.93664691742251,3.71925750126078,-13.5594748004526,-21.0935850370281,-22.9329090909091,18.04400360036,0.508516744989607,-0.10871,-5.42426051229956,2007-10-01
"76",2.56349091316579,3.39624174585143,-12.7247145819989,-13.1010191200787,-22.4141584158416,18.456284216657,0.771492004904769,0.094953,-4.39986793059654,2008-01-01
"77",3.16720474275044,4.06422541219732,-10.7817083902241,-11.7058046388766,-20.758124635993,19.9295927079858,-0.307012169334177,0.27547,-3.28646702089656,2008-04-01
"78",3.49909941106816,4.46590970000406,-9.02295135174043,-1.86846010946343,-19.2582714639254,21.1816401616658,0.546090304500089,0.4473,-2.41638763783237,2008-07-01
"79",6.56421314472723,7.69695836564313,-3.94346938501633,-4.99286214309569,-14.3500186706497,25.6178011309079,0.724198565578466,0.67408,-0.459804312890709,2008-10-01
"80",6.94920496099945,8.25564210267603,-1.40450139349883,-0.410127394153847,-11.9342307692308,27.465359734605,3.22760202227158,0.72976,1.87178691943262,2009-01-01
"81",7.02170498669634,8.49750490044093,0.903209139106195,-0.23788348196652,-9.70327044025154,29.045082499937,1.48637308957358,0.6254,3.73198899040621,2009-04-01
"82",7.00265356312383,8.63886753334049,3.17782723677243,6.35932811511304,-7.4573267501323,30.5599296616313,1.44511798865664,0.39959,4.36554119991786,2009-07-01
"83",6.27128272656552,8.03412584330658,4.66142930234071,-2.46413966628006,-5.96708203530633,31.2775472291292,1.4656271697573,0.12201,5.94479625157848,2009-10-01
"84",3.14808011050835,4.92352015375928,3.22081336072267,-11.2769631499665,-7.42067618076791,29.1454939301269,0.657046044874362,-0.12026,5.16443212487389,2010-01-01
"85",0.580886448533931,2.27265388299753,1.85404720331425,-9.32408118034149,-8.82041701417847,27.1547943105741,-1.59248039715931,-0.42122,2.56886886258606,2010-04-01
"86",-1.88414696955164,-0.367480528592267,0.0865399315920001,-16.0673244885563,-10.6505651105651,24.8364961389962,-1.69157889681992,-0.73458,1.27457924254774,2010-07-01
"87",-3.17313143579008,-1.88122298157523,-0.828180316071013,-14.8215426238571,-11.6423745173745,23.4177016776574,-2.05247193363169,-0.92882,-0.980045708671315,2010-10-01
"88",-3.65300708484304,-2.6047047538045,-1.12441360743318,-20.3561781300754,-12.0185366624526,22.6460347494843,-1.37030167512821,-0.95584,-1.65721384092836,2011-01-01
"89",-3.23548596567869,-2.41569262773478,-0.551942398375729,-14.2598692817389,-11.5111318118304,22.7496304246573,-0.810304397347666,-0.81646,-2.58401988435819,2011-04-01
"90",-2.10987938446198,-1.47615184351164,0.840839769527832,-14.7179752928259,-10.150709382151,23.6615292353823,-0.0260418830563436,-0.55247,-1.51954057422737,2011-07-01
"91",-1.56258015815658,-1.08862455614488,1.68349915282323,-14.2737737093771,-9.31830584707646,24.0251704916773,0.653512979012879,-0.19215,-0.719499419941156,2011-10-01
"92",-2.20933829027044,-1.90680280045692,1.1540544364334,-16.3433872685104,-9.86520778072503,23.0485703367351,0.160136107563494,0.20168,-0.156498689134862,2012-01-01
"93",-4.27588751009975,-4.20280909149508,-1.23881944991305,-5.68696692688215,-12.3247138925105,20.2771502342789,-1.06112613827143,0.46716,-0.854008955978175,2012-04-01
"94",-2.55467941303715,-2.64308385392303,0.376842599668464,-9.9191861917682,-10.7373735935052,21.4968344965105,-2.28539345748558,0.68169,-1.17105087248766,2012-07-01
"95",-0.961677031076647,-1.14580154093417,2.09262216052417,-11.221212906238,-9.00785714285712,22.7993812070283,0.810929028259911,0.80179,-0.850265463670332,2012-10-01
"96",-0.546053065086085,-0.798658557284995,2.67150717046712,-18.6444787947659,-8.39782369146008,22.9714425552093,0.903264274182669,0.77088,0.367583319287198,2013-01-01
"97",-1.40074487737593,-1.73759703792777,1.79666353259759,-21.7981147954137,-9.25759382197535,21.72289332201,0.0238359171570885,0.63299,-0.280114570626121,2013-04-01
"98",-1.17332405483489,-1.57573875972051,2.0067443924143,-18.8322569619535,-9.02391043582568,21.5709161496692,-1.03901534248138,0.37443,-1.38597692145003,2013-07-01
"99",-0.725453554731445,-1.16812616782283,2.48584415935656,-34.4778381412384,-8.5061893522161,21.6946089693155,-0.213694540864256,0.045973,-1.08763975343843,2013-10-01
"100",-1.23057843860067,-1.72061414517196,1.89508054490798,-34.6793892502579,-9.06881290322579,20.7727923195084,-0.0344202971471122,-0.28531,-2.72255179971965,2014-01-01
"101",-2.08655666005259,-2.64395021491362,0.766527209378808,-41.525633254103,-10.1935238095238,19.34448143982,-0.869554308952033,-0.59851,-3.17399802028757,2014-04-01
"102",-1.1253349553561,-1.71082091612266,1.58913646388149,-33.8390384462387,-9.34441944756907,19.866305188414,-1.21864351163565,-0.79748,-4.75999978066287,2014-07-01
"103",-0.0919045942605692,-0.66394367944784,2.64790824693611,-30.7477296320432,-8.22993356299213,20.620461568394,0.253349241750899,-0.86207,-3.34005949495104,2014-10-01
"104",-0.862568352991872,-1.44014899438002,1.75408509117375,-20.4827538012092,-9.08710029069769,19.4470203488372,0.406059827664786,-0.79544,-2.17590220229657,2015-01-01
"105",-2.41872234517322,-3.04847947609414,-0.227925282229648,-14.1032745429569,-11.0801311866428,17.2234420789578,-1.06026342019966,-0.56439,-1.45679036206513,2015-04-01
"106",-2.08977132186652,-2.75699597769523,-0.3051002825936,-3.87170972778,-11.1690311215502,16.9143484759516,-1.87121841158991,-0.26555,-1.99887177773196,2015-07-01
"107",-0.980637224237142,-1.6445629696677,0.567725851062619,-4.27042297984337,-10.2841429562804,17.5523988667018,-0.468336748634007,0.040909,-0.789310720707556,2015-10-01
"108",-0.631637421771444,-1.27663069601701,0.730227791447135,-6.13320199773648,-10.1036226930964,17.4867138164271,0.23598502371917,0.33222,-0.0459940938007716,2016-01-01
"109",0.141153505593365,-0.455994515652691,1.44990761350795,-11.8321238939332,-9.34518011446525,17.9781555879749,-0.25470855224597,0.55589,-0.0270766034463265,2016-04-01
"110",1.47530063001349,0.972713177172238,2.97878207807943,-17.0055499208931,-7.73466003316747,19.270317529997,0.187317704804963,0.71422,-0.311857733041689,2016-07-01
"111",2.8286765224135,2.46697548914761,4.79759228056705,-18.0226005878853,-5.78221132897605,20.8424459710892,0.838712910812379,0.76191,0.0374538922936393,2016-10-01
"112",3.04795154958919,2.83427286167804,5.56424930713061,-13.836270641959,-4.85684843280379,21.3649847387384,1.10664521119299,0.67068,1.03122831637212,2017-01-01
"113",2.19578649412139,2.09948292534602,5.14605160519153,-2.45932301214984,-5.12304030466518,20.7171360467957,0.367037759978959,0.47002,1.91849135742192,2017-04-01
"114",2.02505688109002,2.03591273440026,5.40453265371207,-7.82519167609755,-4.70113648211864,20.7532195361723,-0.48050883096913,0.18669,2.82787301326408,2017-07-01
"115",2.24302414439495,2.36259638834605,6.1132269842428,-10.5424055877289,-3.80499486125387,21.2427080098839,0.0232236343444994,-0.12371,2.09260894504083,2017-10-01
