"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"71",1.31869796984935,1.3633260049948,4.42616612997821,9.89523464177071,3.71875000000003,5.39681904503527,0.478724529402426,0.68484,3.22938606554667,2006-10-01
"72",1.08383699480552,1.15948925491907,4.44669340069436,9.83646350106324,3.83447164948456,5.26553492531033,0.714781593329184,0.70838,3.36740118526108,2007-01-01
"73",2.15096200349774,2.29339688468502,5.97169371260887,12.0089788091379,5.47971807279612,6.59066235678904,1.14287600403653,0.82554,3.34595662242092,2007-04-01
"74",1.67687815483887,1.87037940020147,5.89160884315024,12.3937066108253,5.52201607915893,6.32353123067409,1.55890532781205,0.88238,4.51171550346469,2007-07-01
"75",0.700781019243294,0.911800388087386,5.14514790081984,10.6609826833096,4.88937373737375,5.42503330333034,0.155109480723165,0.8569,4.4553666083658,2007-10-01
"76",0.384448009728686,0.600506672717671,4.99878540200473,9.56156829938516,4.85704950495048,5.13886371578334,-0.065956498252987,0.82383,3.52430737211542,2008-01-01
"77",1.96168473289262,2.23309401930635,7.02687859756446,12.5351681955223,7.03529411764706,6.96738101565725,1.11422301322156,0.99656,3.24232828530636,2008-04-01
"78",2.85896996748289,3.21408397574871,8.5550684964744,15.2914336133217,8.74347991623833,8.25716623467912,2.63698721934879,1.344,4.96513172387157,2008-07-01
"79",2.47311586878465,2.8972710513498,8.75761128579472,16.2640984871449,9.13441000746826,8.22701909740744,1.81007798326538,1.7784,6.33920663995137,2008-10-01
"80",2.98875405156187,3.49606312369423,9.97540690340458,16.3650192877828,10.5671428571429,9.18698268712419,1.47014211534777,2.2407,6.4094307611692,2009-01-01
"81",3.33417046113257,3.93262056337451,11.1112215900856,15.5846326153082,11.9441689128482,10.0445660881175,2.46150268131983,2.648,7.0337767514717,2009-04-01
"82",3.05611679903564,3.73237462109483,11.6006280179439,18.504688082471,12.6901780991007,10.2558337741727,2.27530149136011,2.7454,7.60958580680355,2009-07-01
"83",2.68557106198088,3.42245994054261,11.9508862939427,19.8459868041491,13.3101765316719,10.3322739527661,1.77528144996222,2.6482,8.09671164822337,2009-10-01
