"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"86",-1.26140909262074,0.25342167970075,10.328981872765,21.7566721775269,8.79759213759209,13.1800684450685,-0.927001213709033,3.8408,8.57527114923282,2010-07-01
"87",-3.2598159490656,-1.95323104822708,8.29699435097461,19.1394364028807,6.97800836550837,10.9353743123655,-2.13569079659353,3.1272,6.89333502810705,2010-10-01
"88",-3.74528661883147,-2.66966233726899,7.59228199980737,20.8564417369149,6.47563211125157,10.044837896733,-1.39505144761727,2.5532,5.04643010092219,2011-01-01
"89",-4.36945261280212,-3.54747061721665,6.53631093612407,20.8318386508486,5.60377270610152,8.83622648387032,-0.234291967252526,1.8846,4.87321245154227,2011-04-01
"90",-3.65154698150894,-3.0573101591595,6.85147833113464,21.7270843782433,6.11276887871855,8.99814329677267,0.000112282946717449,1.3485,4.36321191336833,2011-07-01
"91",-5.7141079837379,-5.40993327973268,3.92481063307372,18.1496665641907,3.32010494752623,5.98961057932576,-0.177901829720074,0.7766,4.70341725493109,2011-10-01
"92",-4.83695129329334,-4.78547440936813,3.98809923287575,14.6434044655862,3.51989389920422,5.97238269717812,-2.16850226282559,0.2838,2.53553181451848,2012-01-01
"93",-3.30809450922786,-3.44696015569792,4.89257867491813,15.3942823452026,4.58205128205128,6.78018946822536,1.19563036350295,0.075462,2.008796189812,2012-04-01
"94",-1.93196955297952,-2.20164034840647,5.83460598314988,15.1812113489304,5.70465745620282,7.61014812704744,2.12981204201651,0.11999,3.21648782673761,2012-07-01
"95",-1.50814928453082,-1.87989618357204,5.86536561738214,15.545688177863,5.91907563025211,7.53273282866866,1.80876579414033,0.42778,4.00226017538586,2012-10-01
"96",-0.0163959846634611,-0.426647183124942,7.2088661649652,14.7411204817385,7.47953168044077,8.74697060018971,1.59857268587122,0.97592,4.16015798270405,2013-01-01
"97",1.016654664165,0.615539977398868,8.278751324105,16.732831625442,8.79455358352527,9.67357718069798,2.94645113957166,1.5082,4.98175669901352,2013-04-01
"98",0.700574100818073,0.309794794143187,7.95396234053197,16.7649280973158,8.71115553778489,9.21765616334113,2.03599918866715,1.7745,6.13838171420755,2013-07-01
"99",-0.0474406803030547,-0.443436318623213,7.06751875236651,13.9565528907328,8.04857067925519,8.22097246262786,0.366978299519219,1.8487,5.87542812476373,2013-10-01
"100",0.474845289643895,0.0981134688968552,7.54212609522608,10.9909968875913,8.76144516129031,8.58206574500767,0.391492431876765,1.8983,4.8219036800922,2014-01-01
"101",-0.237451910328616,-0.612542518273074,6.65574489752956,4.89753353977611,8.09493333333336,7.6010930633671,1.13890843266077,1.8298,4.78966938900608,2014-04-01
"102",0.477524318328733,0.132165579145948,7.32010704824214,1.97277068746192,8.99812523434571,8.16437007874015,0.495265032478713,1.7235,3.63852327723851,2014-07-01
"103",-0.400565250540467,-0.741634768470561,6.23531935413448,2.32882494261708,8.12812499999998,6.99871589452482,1.23457076885448,1.6191,3.62543842648325,2014-10-01
"104",3.86295677948118,3.66979011418044,11.0612165564811,9.96446474408114,13.2925145348837,11.677918157424,2.66437255165464,1.9996,3.15377528660221,2015-01-01
"105",4.06722390604918,4.0313049551477,11.9194759624145,12.2656954352645,14.5165652951699,12.3848770295921,6.90393530303727,2.6476,7.22620425045332,2015-04-01
